gx,gy,gz,del_t,ang
-199,182,-796,2742174995,0.487497831319736
-294,77,-1072,2742180670,0.5467618165121026
-296,74,-1103,2742182292,0.5658818123798336
-304,137,-1282,2742190190,0.6885930466346368
-321,110,-1276,2742190737,0.6973803846583161
-316,97,-1260,2742191272,0.7058758150783471
-298,112,-1235,2742191840,0.7148630099384689
-364,86,-1308,2742197438,0.8091423695819288
-357,80,-1328,2742197995,0.8189166659825688
-371,97,-1649,2742207201,1.0279497986244726
-343,127,-1670,2742207822,1.042723641455424
-344,126,-1721,2742208897,1.0691523309072564
-411,100,-1928,2742217190,1.2992798867507451
-382,134,-1946,2742217746,1.3151457595373244
-372,164,-1980,2742218840,1.3471015634496177
-377,178,-2164,2742226682,1.5994303181212444
-411,111,-2143,2742227217,1.616430311700547
-421,95,-2128,2742227778,1.6341100614786768
-390,133,-2111,2742228312,1.65089509827755
-344,95,-1520,2742234457,1.7898113402661189
-318,92,-1387,2742234993,1.8008950358611868
-313,71,-1155,2742243723,1.950983591528214
-291,97,-1089,2742245437,1.9789649595476726
-258,136,-903,2742251423,2.060755043837966
-287,85,-910,2742252006,2.0687005381595363
-306,118,-947,2742261173,2.1996497503618317
-295,125,-956,2742261729,2.207686735994475
-269,135,-987,2742262824,2.224059925253804
-297,74,-1405,2742271162,2.4000755464858017
-351,33,-1445,2742271716,2.412064492916655
-417,-19,-1464,2742272251,2.4237318035236513
-475,-72,-1477,2742272803,2.4358137113800606
-435,-17,-1941,2742278999,2.615986028306968
-1169,-816,-2373,2742288179,2.936545655559944
-1119,-789,-2390,2742288737,2.9566228560657764
-1102,-809,-2413,2742289295,2.9769163146280007
-1082,-782,-2445,2742289908,2.999563320999556
-747,-151,-2564,2742295461,3.217481952695141
-706,-78,-2549,2742295997,3.2384418373864157
568,1408,-3067,2742305179,3.6758384291814403
452,1322,-3120,2742305734,3.7030200341356174
388,1324,-3149,2742306820,3.7567982942586933
-240,573,-3828,2742316227,4.310632162245105
-673,151,-4606,2742323820,4.8435233611115756
-709,182,-4647,2742324355,4.881469830270253
-738,232,-4702,2742324893,4.920132315561801
-630,329,-5151,2742331002,5.401447945993455
-627,176,-4836,2742339609,6.036849036769524
-638,111,-4730,2742340144,6.075456121201092
-642,136,-4618,2742340694,6.114232108977458
-595,232,-4480,2742341228,6.150813078383843
-436,213,-2934,2742346454,6.3853648191787
-410,176,-2762,2742346991,6.408027961618362
-260,106,-804,2742356171,6.5205204017829566
-245,102,-714,2742356756,6.526879711696872
-243,75,-617,2742357318,6.532140171411663
-243,58,-542,2742357867,6.5366412499493665
-204,35,-19,2742362508,6.537540124345994
-203,17,45,2742363072,6.537087432546971
-132,95,344,2742372153,6.488985641157867
-139,103,344,2742372765,6.485754015281012
-162,56,371,2742373881,6.479353254107618
-200,51,287,2742382197,6.442448367013398
-189,49,306,2742382752,6.439819239405011
-165,65,315,2742383847,6.43448592569379
-151,78,322,2742391690,6.395507152680308
-155,73,344,2742392225,6.392667648587344
-155,66,376,2742392775,6.389476057503929
-147,72,418,2742393310,6.386031311064514
-89,60,774,2742399463,6.3127827430938295
-82,56,823,2742399999,6.305997882738103
-47,63,1262,2742409186,6.12832728929009
-67,54,1241,2742409804,6.1165756982531985
-110,6,1180,2742410959,6.095640373917616
-81,19,1217,2742419222,5.9412173309406775
-91,5,1236,2742419784,5.930545574669282
-97,17,1241,2742420878,5.909711842309548
-105,332,769,2742429192,5.814895882238243
-107,391,758,2742429749,5.8086995074360335
-110,466,754,2742430284,5.802845414838674
-113,531,765,2742430844,5.7966849901510935
-82,1401,956,2742436450,5.7275872690397325
-79,1485,957,2742436986,5.7211959153794005
-56,2784,606,2742446167,5.696729472720854
-51,2837,581,2742446750,5.696385763756479
-48,2902,571,2742447299,5.696354871055859
-48,2958,582,2742447842,5.696432337705156
-99,3154,746,2742453448,5.6941811214425115
-108,3159,778,2742454009,5.6944200726505505
-110,3795,958,2742463155,5.723238527567135
-96,3836,1009,2742463701,5.726267457511035
-60,3914,1066,2742464796,5.732451029144499
-55,4633,1663,2742473197,5.778708118174258
-68,4660,1778,2742473756,5.783404257912019
-77,4698,1888,2742474291,5.787541685408142
-94,4976,2275,2742480992,5.846069491830442
-67,6304,2151,2742489601,6.122493865206014
-95,6347,2135,2742490136,6.1436458495138355
-107,6411,2145,2742490686,6.166118171585037
-89,6485,2154,2742491221,6.188739856760502
-17,7617,1489,2742497453,6.60328234973449
8,7710,1470,2742497989,6.642161735843959
-154,8774,542,2742507160,7.558341707727642
-232,8752,529,2742507773,7.622565853392243
-285,8749,545,2742508365,7.684821327344286
-375,9306,257,2742513452,8.2802129169869
-324,9295,165,2742514007,8.346629044591296
-14,9379,-15,2742515183,8.4906441315993
-230,9303,-283,2742519434,9.022462780189262
-244,9433,-289,2742519984,9.092878303557463
-53,9648,-378,2742521081,9.23743211682534
-2314,7311,222,2742527093,9.833461632541795
-2489,6662,1371,2742535188,10.527362683096815
-2450,6695,1341,2742535735,10.575563035145608
-2431,6792,1319,2742536270,10.623597311838976
-2464,6890,1320,2742536840,10.675702888885615
-2972,7188,1453,2742542437,11.218374738636458
-2999,7201,1481,2742542994,11.273142393628104
116,6674,269,2742552174,12.120103187553322
-70,6819,209,2742552779,12.17796636874905
66,7189,96,2742553896,12.291204926120395
-253,8789,-193,2742562189,13.343961432597782
-238,8859,-249,2742562743,13.415271928358896
-156,8924,-316,2742563837,13.557398632224867
-168,9062,-37,2742570741,14.463090925272795
-103,9038,13,2742571276,14.53314750876522
-34,9016,68,2742571834,14.605885161080943
23,8979,135,2742572369,14.67517587417885
-218,8135,648,2742579486,15.500194347029327
-229,8052,651,2742580050,15.565141534059054
-250,6435,466,2742589166,16.407273071589533
-230,6278,452,2742589739,16.459048930882332
-219,6094,452,2742590891,16.560038513714517
-301,4615,773,2742599185,17.099128384991612
-297,4537,794,2742599730,17.133983821894912
-292,4366,837,2742600825,17.20111097460524
-280,3414,999,2742608007,17.537099759172
-265,3336,1022,2742608569,17.56276799777725
-164,3248,1077,2742609652,17.61050716059895
-280,2874,1261,2742617164,17.898238835511748
-288,2815,1264,2742617714,17.91891396234003
-333,2750,1259,2742618249,17.93856023840249
-419,2664,1247,2742618808,17.958470917421103
-331,2290,1089,2742624437,18.12977975523305
-272,2215,1051,2742624994,18.146162073326064
-425,1928,1181,2742630671,18.288571891206207
-517,1714,1073,2742632300,18.32505485501921
196,1196,1157,2742640167,18.430961293966135
-65,1083,1070,2742640723,18.437893811528294
-587,965,939,2742641258,18.444206266552186
-826,974,860,2742641818,18.451199752043827
-91,1078,1074,2742647448,18.521554110608395
-338,957,1016,2742647984,18.52757895696982
-284,1107,1179,2742657155,18.64811356207933
-324,1096,1181,2742657765,18.656129091437407
-210,1091,1173,2742658884,18.670593788586093
-328,1072,1292,2742667199,18.77607026434889
-310,1073,1332,2742667754,18.783120811630628
-370,1083,1386,2742668839,18.79707877420069
-1172,919,1755,2742677161,18.889997572817144
-1346,1027,1817,2742677710,18.897249601897922
-1152,1089,1941,2742678245,18.90454121439153
-856,1080,2076,2742678806,18.91171471202361
-1048,489,2268,2742684434,18.934788471520612
-940,498,2294,2742684991,18.93714284684384
-822,19,2861,2742690667,18.915685723859184
-746,-115,2969,2742692298,18.906376920847364
-802,-869,3170,2742698840,18.796799654841564
-857,-938,3122,2742699374,18.78762028848545
-935,-1001,3061,2742699909,18.778068131855758
-948,-1035,3038,2742700444,18.768302307167623
-565,-2183,2201,2742706469,18.555632299417972
-550,-2299,2131,2742707006,18.535856199768652
-575,-3757,1460,2742714795,18.083569616253428
-548,-3886,1440,2742715330,18.051508174451804
-526,-3993,1426,2742715890,18.01703251009103
-511,-4135,1404,2742716425,17.982949655169698
-463,-5268,1260,2742722458,17.496061754603303
-483,-5360,1245,2742722994,17.452142914465448
-405,-6931,1211,2742733777,16.31373011238591
-400,-8198,993,2742742134,15.276426647789128
-405,-8263,998,2742742690,15.207000885476939
-412,-8391,993,2742743784,15.068370607759281
-443,-9736,789,2742750732,14.051094902630327
-457,-9873,778,2742751267,13.971854854270092
-453,-9982,775,2742751825,13.888320693462873
-432,-10125,773,2742752360,13.807079403435658
-427,-11271,932,2742759478,12.60713456794691
-425,-11340,981,2742760041,12.511935884215465
-520,-12666,1442,2742769169,10.8008932142331
-513,-12743,1429,2742769749,10.692332556027266
-466,-12918,1386,2742770882,10.477485401593443
3696,-11445,173,2742779175,8.940476090463328
3685,-11235,147,2742779730,8.839373000737428
3616,-10736,155,2742780816,8.649819460532521
-744,-8319,875,2742787814,7.80847865241668
-710,-7477,913,2742788349,7.75117285161272
-360,-5989,856,2742789442,7.656040440144479
-169,-2500,1890,2742797155,7.371455382788373
-143,-2433,1903,2742797714,7.351616758428006
-142,-2254,1952,2742798249,7.334059380532734
-226,-2055,2065,2742798799,7.317893268072531
-265,-1782,3660,2742804459,7.186962587910785
-128,-1821,3709,2742804995,7.1746968163868505
-133,-2923,4966,2742814167,6.875677381253318
-233,-2894,4934,2742814744,6.8601431781974815
-236,-2918,4850,2742815884,6.82979610837942
-245,-3157,3633,2742824159,6.5789580935903205
-291,-3106,3507,2742824714,6.5640716355832565
-276,-3037,3181,2742825807,6.534680790125794
-256,-3770,1629,2742834144,6.184961536931435
-257,-3835,1543,2742834700,6.161846227946156
-231,-3881,1406,2742835234,6.138965641941109
-256,-3904,1287,2742835794,6.1146522385477535
-236,-4867,308,2742841446,5.775433124474242
-139,-5001,87,2742841982,5.741940817961534
-244,-6062,-1176,2742851163,5.008568852746245
-254,-6041,-1124,2742851720,4.965902807644475
-243,-6038,-1109,2742852303,4.921477094672525
-127,-5989,-1159,2742852860,4.87885030478932
-242,-6041,-948,2742858443,4.473262764552909
-199,-5998,-1010,2742859007,4.433521457817016
-201,-5496,-1376,2742868147,3.853036183727829
-211,-5452,-1324,2742868697,3.8210899371762372
-267,-5404,-1164,2742869791,3.760788795581841
-248,-4977,-66,2742878193,3.4340151869795283
-254,-4957,12,2742878750,3.416000729881234
-254,-4947,49,2742879285,3.399288163341611
-174,-4757,303,2742885989,3.2384484680004872
-101,-4425,870,2742893624,3.173775103251502
-129,-4360,864,2742894159,3.172785260809072
-166,-4321,865,2742894719,3.17251116597061
-203,-4288,866,2742895254,3.17296206138713
-233,-3931,-22,2742901443,3.163340017683203
-200,-3921,-203,2742901979,3.1636028539656085
-442,-15,-910,2742911160,3.1283012750820856
-396,31,-925,2742911744,3.1257929357271768
-368,44,-951,2742912304,3.123084556763779
